name,registeredUsers,year,quarter,state
south andaman,5846,2018,1,andaman-&-nicobar-islands
north and middle andaman,632,2018,1,andaman-&-nicobar-islands
nicobars,262,2018,1,andaman-&-nicobar-islands
744103,1608,2018,1,andaman-&-nicobar-islands
744101,1108,2018,1,andaman-&-nicobar-islands
744105,1075,2018,1,andaman-&-nicobar-islands
744102,1006,2018,1,andaman-&-nicobar-islands
744104,272,2018,1,andaman-&-nicobar-islands
744202,237,2018,1,andaman-&-nicobar-islands
744112,215,2018,1,andaman-&-nicobar-islands
744301,207,2018,1,andaman-&-nicobar-islands
744107,196,2018,1,andaman-&-nicobar-islands
744211,156,2018,1,andaman-&-nicobar-islands
south andaman,8143,2018,2,andaman-&-nicobar-islands
north and middle andaman,911,2018,2,andaman-&-nicobar-islands
nicobars,351,2018,2,andaman-&-nicobar-islands
744103,2188,2018,2,andaman-&-nicobar-islands
744101,1521,2018,2,andaman-&-nicobar-islands
744105,1492,2018,2,andaman-&-nicobar-islands
744102,1419,2018,2,andaman-&-nicobar-islands
744104,396,2018,2,andaman-&-nicobar-islands
744202,343,2018,2,andaman-&-nicobar-islands
744112,299,2018,2,andaman-&-nicobar-islands
744107,293,2018,2,andaman-&-nicobar-islands
744301,273,2018,2,andaman-&-nicobar-islands
744211,240,2018,2,andaman-&-nicobar-islands
south andaman,10474,2018,3,andaman-&-nicobar-islands
north and middle andaman,1208,2018,3,andaman-&-nicobar-islands
nicobars,467,2018,3,andaman-&-nicobar-islands
744103,2741,2018,3,andaman-&-nicobar-islands
744101,1978,2018,3,andaman-&-nicobar-islands
744105,1935,2018,3,andaman-&-nicobar-islands
744102,1803,2018,3,andaman-&-nicobar-islands
744104,507,2018,3,andaman-&-nicobar-islands
744202,446,2018,3,andaman-&-nicobar-islands
744112,388,2018,3,andaman-&-nicobar-islands
744107,384,2018,3,andaman-&-nicobar-islands
744301,372,2018,3,andaman-&-nicobar-islands
744211,327,2018,3,andaman-&-nicobar-islands
south andaman,13133,2018,4,andaman-&-nicobar-islands
north and middle andaman,1553,2018,4,andaman-&-nicobar-islands
nicobars,536,2018,4,andaman-&-nicobar-islands
744103,3373,2018,4,andaman-&-nicobar-islands
744101,2498,2018,4,andaman-&-nicobar-islands
744105,2416,2018,4,andaman-&-nicobar-islands
744102,2231,2018,4,andaman-&-nicobar-islands
744104,634,2018,4,andaman-&-nicobar-islands
744202,554,2018,4,andaman-&-nicobar-islands
744107,548,2018,4,andaman-&-nicobar-islands
744112,496,2018,4,andaman-&-nicobar-islands
744211,433,2018,4,andaman-&-nicobar-islands
744301,425,2018,4,andaman-&-nicobar-islands
south andaman,15961,2019,1,andaman-&-nicobar-islands
north and middle andaman,2013,2019,1,andaman-&-nicobar-islands
nicobars,622,2019,1,andaman-&-nicobar-islands
744103,4136,2019,1,andaman-&-nicobar-islands
744101,3030,2019,1,andaman-&-nicobar-islands
744105,2994,2019,1,andaman-&-nicobar-islands
744102,2667,2019,1,andaman-&-nicobar-islands
744104,756,2019,1,andaman-&-nicobar-islands
744202,753,2019,1,andaman-&-nicobar-islands
744107,667,2019,1,andaman-&-nicobar-islands
744112,585,2019,1,andaman-&-nicobar-islands
744211,524,2019,1,andaman-&-nicobar-islands
